"Designation ID","Donation Date","Campaign ID","Campaign Name","Impact Fund ID","Impact Fund Name","Nonprofit ID","Nonprofit Name","Amount Org","Org Currency","Amount Donor","Donor Currency","Amount USD","Pledge Type","Status","Cause ID","Cause","SDG_ID","SDG","Donation ID","Subscription ID","Last Activity Date","Nonprofit Street","Nonprofit City","Nonprofit State","Write In Name","Write In Tax ID","Recurring Start Date","Recurring End Date","Payment Type","Person Id","Work Email","Employee Number","First Name","Last Name","Title","Department","Office","Region","Work Address Line 1","Work Address Line 2","Work City","Work State","Work Postal Code","Work Postal Code Ext","Work Country","Work Phone","Annual Installment Count","Language Preference","Time Zone","Ask Ladder Single Gift Amount","Job Level","Employment Status","Line of Business","Cost Center","Account Status","Installment Amount"
"305179","2021-02-02 18:57:07","1905939","Housing Hurricane Hanson Victims","","","305179","New Orleans Hurricane Relief Foundation","16667.0","USD","16667.0","USD","16667.0","One Time","PAID","2007","Disaster Relief & Emergency Services","1001","Goal 1: No Poverty","36027","","2021-02-02 18:57:07","PO Box 1074","Newport Beach","CA","","","","","CreditCard","4447","kevin.zeigler+john10click@salesforce.com","","John","Smith","","","","","415 Mission Street","3rd Floor","San Francisco","CA","94105","94105","US","","12","en_US","America/New_York","","","","","","Inactive",""
"180570","2021-02-02 18:57:07","1905939","Housing Hurricane Hanson Victims","","","180570","American Red Cross","16667.0","USD","16667.0","USD","16667.0","One Time","PAID","2007","Disaster Relief & Emergency Services","1001","Goal 1: No Poverty","36027","","2021-02-02 18:57:07","431 18th St NW","Washington","DC","","","","","CreditCard","4447","kevin.zeigler+john10click@salesforce.com","","John","Smith","","","","","415 Mission Street","3rd Floor","San Francisco","CA","94105","94105","US","","12","en_US","America/New_York","","","","","","Inactive",""
"1353774","2021-02-02 18:57:07","1905939","Housing Hurricane Hanson Victims","","","1353774","United Way of Greater St. Louis Inc.","16666.0","USD","16666.0","USD","16666.0","One Time","PAID","2020","Philanthropy, Voluntarism, and Membership Organizations","1017","Goal 17: Partnerships for the Goals","36027","","2021-02-02 18:57:07","910 N 11TH ST","ST LOUIS","MO","","","","","CreditCard","4447","kevin.zeigler+john10click@salesforce.com","","John","Smith","","","","","415 Mission Street","3rd Floor","San Francisco","CA","94105","94105","US","","12","en_US","America/New_York","","","","","","Inactive",""
"578892","2021-02-02 18:58:33","1905938","A Giant Box of Giving","","","578892","United Way of the Bay Area","27000.0","USD","27000.0","USD","27000.0","One Time","PAID","2020","Philanthropy, Voluntarism, and Membership Organizations","1017","Goal 17: Partnerships for the Goals","36028","","2021-02-02 18:58:33","550 Kearny Street, Suite 1000","San Francisco","CA","","","","","CreditCard","4447","kevin.zeigler+john10click@salesforce.com","","John","Smith","","","","","415 Mission Street","3rd Floor","San Francisco","CA","94105","94105","US","","12","en_US","America/New_York","","","","","","Inactive",""
"578892","2021-02-02 18:58:33","1905938","A Giant Box of Giving","1881068","United Way Bay Area Rental Relief Fund","1792","United Way Bay Area","5000.0","USD","5000.0","USD","5000.0","One Time","PAID","2021","Poverty & Economic Mobility"," "," ","36028","","2021-02-02 18:58:33","550 Kearny Street, Suite 1000","San Francisco","CA","","","","","CreditCard","4447","kevin.zeigler+john10click@salesforce.com","","John","Smith","","","","","415 Mission Street","3rd Floor","San Francisco","CA","94105","94105","US","","12","en_US","America/New_York","","","","","","Inactive",""
"578892","2021-02-02 18:58:33","1905938","A Giant Box of Giving","1881067","Greater Bay Area Central Coast Wildfire Relief Fund","1792","United Way Bay Area","15000.0","USD","15000.0","USD","15000.0","One Time","PAID","2007","Disaster Relief & Emergency Services"," "," ","36028","","2021-02-02 18:58:33","550 Kearny Street, Suite 1000","San Francisco","CA","","","","","CreditCard","4447","kevin.zeigler+john10click@salesforce.com","","John","Smith","","","","","415 Mission Street","3rd Floor","San Francisco","CA","94105","94105","US","","12","en_US","America/New_York","","","","","","Inactive",""
"578892","2021-02-02 18:58:33","1905938","A Giant Box of Giving","1718222","United Way Bay Area COVID-19 Community Relief Fund (San Francisco Bay Area - Silicon Valley)","1792","United Way Bay Area","3000.0","USD","3000.0","USD","3000.0","One Time","PAID","2003","Children & Families"," "," ","36028","","2021-02-02 18:58:33","550 Kearny Street, Suite 1000","San Francisco","CA","","","","","CreditCard","4447","kevin.zeigler+john10click@salesforce.com","","John","Smith","","","","","415 Mission Street","3rd Floor","San Francisco","CA","94105","94105","US","","12","en_US","America/New_York","","","","","","Inactive",""
"578892","2021-02-02 18:58:33","1905938","A Giant Box of Giving","1275173","Employment & Career Opportunities","1792","United Way Bay Area","2500.0","USD","2500.0","USD","2500.0","One Time","PAID","2003","Children & Families"," "," ","36028","","2021-02-02 18:58:33","550 Kearny Street, Suite 1000","San Francisco","CA","","","","","CreditCard","4447","kevin.zeigler+john10click@salesforce.com","","John","Smith","","","","","415 Mission Street","3rd Floor","San Francisco","CA","94105","94105","US","","12","en_US","America/New_York","","","","","","Inactive",""
"578892","2021-02-02 18:58:33","1905938","A Giant Box of Giving","1275172","Financial Stability","1792","United Way Bay Area","1000.0","USD","1000.0","USD","1000.0","One Time","PAID","2021","Poverty & Economic Mobility"," "," ","36028","","2021-02-02 18:58:33","550 Kearny Street, Suite 1000","San Francisco","CA","","","","","CreditCard","4447","kevin.zeigler+john10click@salesforce.com","","John","Smith","","","","","415 Mission Street","3rd Floor","San Francisco","CA","94105","94105","US","","12","en_US","America/New_York","","","","","","Inactive",""
"578892","2021-02-02 18:58:33","1905938","A Giant Box of Giving","1113","Basic Needs & Homelessness Prevention","1792","United Way Bay Area","17000.0","USD","17000.0","USD","17000.0","One Time","PAID","2015","Hunger & Food Security"," "," ","36028","","2021-02-02 18:58:33","550 Kearny Street, Suite 1000","San Francisco","CA","","","","","CreditCard","4447","kevin.zeigler+john10click@salesforce.com","","John","Smith","","","","","415 Mission Street","3rd Floor","San Francisco","CA","94105","94105","US","","12","en_US","America/New_York","","","","","","Inactive",""
"578892","2021-02-02 19:05:18","1905938","A Giant Box of Giving","","","578892","United Way of the Bay Area","10.0","USD","10.0","USD","10.0","One Time","PAID","2020","Philanthropy, Voluntarism, and Membership Organizations","1017","Goal 17: Partnerships for the Goals","36031","","2021-02-02 19:05:18","550 Kearny Street, Suite 1000","San Francisco","CA","","","","","CreditCard","4445","kevin.zeigler+187728@salesforce.com","000001","Lauren","Bailey","Director, Corporate Responsibility","CSR","Davidson","North Carolina","800 Beaty Street","Building B","Davidson","NC","28036","","US","425-555-1212","12","en_US","America/Los_Angeles","","","","","","Active",""
